Month,Dates,Item,Genre ,Link,Description
February,19.02,43% Zartbitter. Rassismus & Liebe,"reading, lecture",https://calendar.boell.de/de/event/43-zartbitter-rassismus-liebe,"Wunderbare Word Art-Künstler*innen erinnern sich, denken laut, sind ungehalten und wütend: Rassismus und Diskriminierung wirken selbst in persönlichsten Lebensbereichen,- dies ist eine bittere Erfahrung von Schwarzen Menschen und von People of Color (PoC)."
February,21.02.,Lùisa @ Press Play - Livestream Konzerte,Concert ,https://www.eventbrite.de/e/luisa-press-play-livestream-konzerte-tickets-134445509137?aff=,
February,24.02.,"Sharon Dodua Otoo ""Adas Raum""",reading,https://lfbrecht.de/event/sharon-dodua-otoo-adas-raum/,
February,25.02,Frauen an die Bücher!,reading group,https://www.meetup.com/fr-FR/Feministischer-Buchclub/events/zdpbcsyccdbhc/,"Zum 25.02. lesen wir ""Schwarzer Feminismus - Grundlagentexte"" Natasha A. Kelly."
February,25.02,Environment as Evidence,online class,http://schoolofma.org/environment-as-evidence.html,"How can we use spatial investigation of nature as a political sensor for expanding the practices of open-source activism far and wide? School of Machines, Making & Make-Believe presents 5-wk online class dedicated to data&spatial storytelling for investigative journalism. "
February,26.02,Wissenschaftliches Schreiben zu lesbischen und queer-fem. Themen,academic writing,http://www.spinnboden.de/kultur/workshops.html,
February,26.02.-27.02.,Digital: Mourning becomes Electra von Eugene O'Neill,theatre ,https://dringeblieben.de/videos/mourning-becomes-electra-von-eugene-oneill,"A family hell on permanent loop. Even centuries after Aeschylus' Oresteia and countless literary adaptations, Electra still has to mourn. Electra is still at the mercy of her fate."
February,27.02.,Positive Experiences with doing Politics & Reassure,workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
February,28.02.,Mx. Lockdown // A One-Time Digital Drag Pageant,drag pageant,twitch.tv/pansypresents,
March,12.03.,"Interaktive Vorstelllung zu ""Unsichtbare Frauen- Wie eine von Daten beherrschte Welt die Hälfte der Bevölkerung ignoriert""",reading and lecture,https://gruene-ts.de/ts_termin/unsichtbare-frauen-wie-eine-von-daten-beherrschte-welt-die-haelfte-der-bevoelkerung-ignoriert/,"„Dieses Buch ist ein Wendepunkt“, schreibt die Süddeutsche Zeitung begeistert. Die grünen Frauen laden Sie zur interaktiven Vorstellung des viel diskutierten Buches von Caroline Criado-Perez – natürlich mit begleitender Diskussion - im Frauenmärz ein."
March,13.02-14.03,CTM Cyberia - Virtual multiplayer festival environment,online exhibition,https://www.ctm-festival.de/festival-2021/programme/exhibition/cyberia,CTM Cyberia throws festival goers into a landscape of Transformation. Explore a range of digital artworks hidden throughout a disorienting environment of mercurial visuals and erratic sounds.
March,01.03.,Online-Workshop: Intersektionale Diskriminierungskritik,online lecture,www.shmh.de/diskriminierungskritik01032021,Einstieg in die intersektionale Diskriminierungskritik mit Josephine Apraku und Dr. Jule Bönkost.
March,02.03.,"Gender, sexual and amorous Diversity",workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
March,03.03.,Onlinevortrag (Englisch): Sexualisierte Gewalt in Israel – der Frauennotruf im Austausch,presentation ,https://www.frauennotruf-mainz.de/pressemitteilung-veranstaltung/onlinevortrag-englisch-sexualisierte-gewalt-israel-der-frauennotruf,Wie verhält und entwickelt sich das gesellschaftspolitische Klima in Israel zum Thema sexualisierte Gewalt? Daniel Roe nimmt die aktuelle Agenda in Bezug auf geschlechtsspezifische Gewalt in den sozio-politischen Fokus und wirft dabei einen tiefen Blick auf die politische sowie präventive Arbeit der aktivistischen Organisationen und bespricht die Rechtsanwendung und –Lage Israels.
March,04.03.,In der Zukunft treffen wir uns – sorgearbeit. wohnen. queerfeministisch,workshop ,https://konzeptwerk-neue-oekonomie.org/termin/in-der-zukunft-treffen-wir-uns-sorgearbeit-wohnen-queerfeministisch/,"Gemeinsam mit unseren drei Gästen Lina Hurlein, Francis Seeck und Mono Welk werden wir nach einer queerfeministischen Vision suchen. Dabei bringen die Sprecher*innen aus ihrem jeweiligen Themenschwerpunkt Wohnen, Care (Sorgearbeit) und Familien-Vielfalt ihre Erfahrung, Wissen und Ideen mit, die wir an diesem Abend miteinander verweben wollen."
March,04.03.,Demokratie braucht Feminismus! – Antifeminismus online entgegentreten,workshop,https://calendar.boell.de/de/event/demokratie-braucht-feminismus-antifeminismus-online-entgegentreten-3,"Das zweistündige Online-Seminar bietet dabei einen Einstieg in die Thematik. Was ist Antifeminismus überhaupt und wie können wir ihn online erkennen? Welche Strategien gibt es, um auf antifeministische Aussagen zu reagieren?"
March,06.03.,Transfeindlichkeit - Aspekte geschlechtlicher Marginalisierung,reading and lecture,http://www.spinnboden.de/kultur/vortraege.html,"Es gibt verschiedene Formen von Diskriminierung: etwa Rassismus, Sexismus, Klassismus und Ableismus. Intersektionalität meint ihr Zusammenwirken. Im Workshop beschäftigen wir uns damit, was das für uns bedeutet: Wie betrifft Intersektionalität meine Realität? Was heißt das für mein diskriminierungskritisches Handeln?"
March,17.03.,Feminstische Sex Wars und Femme/Butch in der Westberliner Lesbenzeitschrift UKZ,lecture,http://www.spinnboden.de/kultur/vortraege.html,"Im Vortrag werden Diskussionen über lesbisch_queere Sexualität innerhalb der UKZ der 1980er und 90er Jahre vorgestellt. Es wird der Frage nachgegangen, inwiefern Sexualitätsdiskurse als Aushandlungsorte lesbisch_queerer Identitäts- und Geschlechtskonzeptionen fungierten. Dabei werden Auseinandersetzungen um vergeschlechtlichte Körper, sexuelle Praktiken und die Verflechtungen von Geschlecht und Begehren betrachtet und vor diesem Hintergrund Debatten über die Themen der Feminist Sex Wars – Pornografie, Sexspielzeug, BDSM, Sexarbeit, sexuelle Praktiken und lesbische Identitäten – besprochen."
March,17.03.,Masculinities: Liberation through Photography,exhibition,https://www.berlinerfestspiele.de/de/gropiusbau/programm/2020/masculinities/masculinities-digital.html,"Featuring works by Laurie Anderson, Richard Avedon, Rotimi Fani-Kayode, Isaac Julien, Annette Messager and Wolfgang Tillmans, a comprehensive group exhibition at the Gropius Bau titled “Masculinities: Liberation through Photography” explores the ways in which masculinity is experienced, performed and socially constructed from the 1960s to the present day. A catalogue is available in the Walther König bookstore at the Gropius Bau."
March,22.03.,Onlineseminar | Veranstaltungen intersektional gestalten,online class,https://www.vnb-ev.de/index.php?module=014000&dat=14775,"Die Veranstaltung lenkt den Blick auf die sogenannten „blinden Flecken“, die wir alle besitzen, wenn es darum geht, Veranstaltungen inklusiv und diskriminierungssensibel zu gestalten. In einem ersten Teil geht es um das Konzept der Intersektionalität (die Anerkennung von Mehrfachdiskriminierungen) und um die Frage, was dies für die konkrete Veranstaltungsplanung bedeuten kann. In zweiten Teil des Seminars geht es um den Bezug zur eigenen Praxis und um eine Reflexion der eigenen Tätigkeit."
March,22.03.,"Gender, sexual and amorous Diversity",workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
March,23.03.,Online-Workshop: Intersektionale Diskriminierungskritik,online lecture,www.shmh.de/diskriminierungskritik23032021,Einstieg in die intersektionale Diskriminierungskritik mit Josephine Apraku und Dr. Jule Bönkost.
March,27.03.,Intersectionality,workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
April,2021-04-02,female:pressure Circle @ HÖR,music,https://www.youtube.com/channel/UCmfF7JZv26UUKyRedViGIlw,
April,06.04,Pornfilmfestival: Female Porn Shorts,cinema,https://www.moviemento.de/,
April,22.04.,Frauen an die Bücher!,reading group,https://www.meetup.com/fr-FR/Feministischer-Buchclub/events/zdpbcsyccgbdc/,"Zum 22.04. lesen wir ""Queenie"" von Candice Party-Williams zu Ende."
April,22.04.,Demokratie braucht Feminismus! – Antifeminismus online entgegentreten,workshop,https://calendar.boell.de/de/node/143555,"Das zweistündige Online-Seminar bietet dabei einen Einstieg in die Thematik. Was ist Antifeminismus überhaupt und wie können wir ihn online erkennen? Welche Strategien gibt es, um auf antifeministische Aussagen zu reagieren?"
May,,,,,
June,15.06.,Demokratie braucht Feminismus! – Antifeminismus online entgegentreten,workshop ,https://calendar.boell.de/de/node/143557,"Das zweistündige Online-Seminar bietet dabei einen Einstieg in die Thematik. Was ist Antifeminismus überhaupt und wie können wir ihn online erkennen? Welche Strategien gibt es, um auf antifeministische Aussagen zu reagieren?"
